iter	RMSE
0	0.9677985947
1	0.944408698
2	0.92311499
3	0.9006464971
4	0.8788567301
5	0.8568074258
6	0.836643587
7	0.8174393386
8	0.7984159196
9	0.7802576571
10	0.7622718972
11	0.7471116234
12	0.7316687435
13	0.7171047692
14	0.7036384166
15	0.6883425619
16	0.6745764985
17	0.6621243223
18	0.6491717422
19	0.6369031154
20	0.6243578473
21	0.6128945211
22	0.6020092786
23	0.5921690137
24	0.5824577682
25	0.5742199695
26	0.5648726035
27	0.5560750204
28	0.5484795192
29	0.5395885159
30	0.5321053051
31	0.5225766398
32	0.515410535
33	0.5083900981
34	0.5010075879
35	0.4938665707
36	0.4872531914
37	0.4805099224
38	0.4752079873
39	0.4689684351
40	0.4630428376
41	0.4568242187
42	0.4512032121
43	0.4452404903
44	0.4394507851
45	0.434436128
46	0.4302169902
47	0.4257081515
48	0.4220901311
49	0.4180665401
50	0.4129273021
51	0.409980712
52	0.4059859455
53	0.4012517097
54	0.3972462093
55	0.3939008274
56	0.3902568404
57	0.3869088468
58	0.3840616646
59	0.3817401689
60	0.3789320406
61	0.3760318402
62	0.373687831
63	0.3713126876
64	0.3686129291
65	0.3661739608
66	0.3631053636
67	0.3608043304
68	0.3582181934
69	0.3555504521
70	0.3531143327
71	0.3510782875
72	0.3489536703
73	0.3469037001
74	0.3451586046
75	0.3432129983
76	0.3411489925
77	0.338872245
78	0.3365259103
79	0.3347850289
80	0.3331318256
81	0.331484381
82	0.3300077713
83	0.3279620428
84	0.326529075
85	0.3253357522
86	0.3235799255
87	0.3221162959
88	0.3211013442
89	0.3198012154
90	0.3181630673
91	0.3168551496
92	0.3156284859
93	0.3146937542
94	0.3136767669
95	0.3118841029
96	0.3109357138
97	0.3097582957
98	0.3087591598
99	0.3076949524
100	0.3066851222
101	0.3057668446
102	0.3043959504
103	0.303362198
104	0.3022135706
105	0.3011322989
106	0.3001186992
107	0.2988324675
108	0.2979664589
109	0.2969769553
110	0.2958073084
111	0.2946304525
112	0.2934872976
113	0.2925588845
114	0.2915276027
115	0.2908371049
116	0.2901755378
117	0.2892058058
118	0.2882879956
119	0.2877013252
120	0.2867779651
121	0.2856928455
122	0.2852478328
123	0.2843877885
124	0.2839504756
125	0.2834974595
126	0.2825832497
127	0.2818258813
128	0.2808785071
129	0.2801771532
130	0.2796464067
131	0.2788652073
132	0.2781801568
133	0.2776322094
134	0.277077903
135	0.2765578847
136	0.2759586093
137	0.275152746
138	0.2743544781
139	0.2735598827
140	0.2727848363
141	0.2720862016
142	0.2713902039
143	0.2708287587
144	0.2703704939
145	0.2695586386
146	0.2690972626
147	0.2684667853
148	0.2678660172
149	0.2673768724
150	0.2669834664
151	0.2664188473
152	0.2657633366
153	0.2650140842
154	0.264193025
155	0.2637544523
156	0.2632747699
157	0.2628266324
158	0.2623054125
159	0.2617466288
160	0.2613296408
161	0.2606972287
162	0.2599901818
163	0.259147925
164	0.2587210867
165	0.2583875938
166	0.2581729682
167	0.2573319067
168	0.2568350143
169	0.2563830977
170	0.2555510581
171	0.2552513407
172	0.2549582163
173	0.2545836094
174	0.2542506512
175	0.2537149516
176	0.2533856702
177	0.2528149674
178	0.2523117396
179	0.2518978746
180	0.2515163463
181	0.2510001
182	0.2503589746
183	0.2497594367
184	0.2493935849
185	0.2487234669
186	0.248065868
187	0.247545883
188	0.2469907731
189	0.2466294027
190	0.2462210497
191	0.2458360703
192	0.2453741689
193	0.2450316347
194	0.2445204923
195	0.2442357842
196	0.2437876226
197	0.2434173366
198	0.243180437
199	0.2428903178
200	0.242320873
201	0.2416117711
202	0.2410097527
203	0.2406786469
204	0.2404730277
205	0.2402044576
206	0.2398609566
207	0.2390630312
208	0.2387264672
209	0.2384267129
210	0.2379479043
211	0.2375969043
212	0.2372960571
213	0.2364653701
214	0.2362349629
215	0.2359959183
216	0.2357209819
217	0.235190943
218	0.2349410048
219	0.2345937878
220	0.2341834509
221	0.233593368
222	0.2330438758
223	0.2323577488
224	0.2317750883
225	0.2315652513
226	0.2313431715
227	0.2307562376
228	0.2303746272
229	0.2301416639
230	0.229930851
231	0.2294093572
232	0.229189739
233	0.2289030275
234	0.2283894261
235	0.2279108244
236	0.2274122797
237	0.2267534758
238	0.2265725507
239	0.226287852
240	0.22619257
241	0.225998244
242	0.2253807414
243	0.224997785
244	0.2243471908
245	0.2240078042
246	0.2233584125
247	0.2228656795
248	0.2226458053
249	0.2221942266
250	0.2218064873
251	0.2213595544
252	0.2208278655
253	0.220680885
254	0.220133504
255	0.2198333295
256	0.2192229062
257	0.2190720251
258	0.218891554
259	0.218286545
260	0.218165175
261	0.2177234581
262	0.2175221721
263	0.2170111256
264	0.2166671289
265	0.2161328079
266	0.2160187375
267	0.2156063555
268	0.2149882538
269	0.2145460586
270	0.214191012
271	0.2137166815
272	0.2131591342
273	0.2130347541
274	0.2125524655
275	0.2121726092
276	0.2116647589
277	0.211522096
278	0.2107355544
279	0.2102643741
280	0.2098789905
281	0.2095051258
282	0.2091641865
283	0.2084873287
284	0.2082741877
285	0.2078603593
286	0.2075274373
287	0.2071785953
288	0.2067436008
289	0.2063924987
290	0.2059850823
291	0.2053882688
292	0.2051178053
293	0.2050073714
294	0.2048802042
295	0.2044825089
296	0.2040278949
297	0.2035608434
298	0.2033965701
299	0.2030688003
300	0.2026268729
301	0.2024294481
302	0.2021490153
303	0.2018462426
304	0.2014608104
305	0.2012187697
306	0.2009469384
307	0.2006776266
308	0.2004643173
309	0.2003343335
310	0.1997276711
311	0.1993643307
312	0.1990131712
313	0.1984456695
314	0.1983354424
315	0.1980210235
316	0.1976986552
317	0.1974713488
318	0.1973856721
319	0.1971036827
320	0.1967661972
321	0.1965141625
322	0.196321711
323	0.1960109145
324	0.1956694035
325	0.19545354
326	0.195000344
327	0.1946725746
328	0.1942646103
329	0.1938546782
330	0.1936363559
331	0.1934287994
332	0.1929605208
333	0.1926453569
334	0.1924654219
335	0.1923959929
336	0.1921045045
337	0.1916736603
338	0.1913620322
339	0.1911040995
340	0.1907807302
341	0.1907152796
342	0.1904790635
343	0.1900127677
344	0.189776652
345	0.1894978342
346	0.1893037444
347	0.189092464
348	0.1886863415
349	0.1882210595
350	0.1876998746
351	0.1874075036
352	0.1872065817
353	0.1869649778
354	0.186630592
355	0.1861850845
356	0.1860073635
357	0.1856956414
358	0.1855025356
359	0.1850945922
360	0.1848449889
361	0.1845520195
362	0.1843750781
363	0.1840477339
364	0.1837880758
365	0.1837002454
366	0.1834362973
367	0.1830360533
368	0.1828264452
369	0.1826043965
370	0.1823658591
371	0.1822786181
372	0.1820424351
373	0.181824309
374	0.1815196395
375	0.1812911472
376	0.1810858142
377	0.1808548332
378	0.1806214908
379	0.1801657767
380	0.1800825219
381	0.1798097013
382	0.1795476998
383	0.1793584498
384	0.1791811186
385	0.1789832101
386	0.1788722811
387	0.1786071538
388	0.1784127995
389	0.1782801579
390	0.1782197803
391	0.178035226
392	0.1777883478
393	0.1774837463
394	0.1773956787
395	0.1772069497
396	0.1770762429
397	0.1770190839
398	0.176964912
399	0.1767518833
400	0.1765019384
401	0.1763249066
402	0.1761912273
403	0.1761521545
404	0.1759044079
405	0.1756793007
406	0.1753646089
407	0.1751406397
408	0.1748943274
409	0.1746450634
410	0.1744475477
411	0.1742123501
412	0.1740176584
413	0.1738251471
414	0.1736769781
415	0.1735091644
416	0.1732508168
417	0.1730477056
418	0.172919444
419	0.1728045814
420	0.1726469073
421	0.1725232544
422	0.172250204
423	0.172004552
424	0.1718357497
425	0.1715902718
426	0.1712565027
427	0.1711293124
428	0.1708839494
429	0.1706960745
430	0.1705500128
431	0.1703411943
432	0.1700569152
433	0.1699306094
434	0.16982601
435	0.1697334922
436	0.1695539387
437	0.169309059
438	0.1691109347
439	0.1690804082
440	0.1689422555
441	0.1687685684
442	0.168731906
443	0.1685012904
444	0.1682908271
445	0.1679825086
446	0.1677637558
447	0.1674922854
448	0.1673255058
449	0.1670898975
450	0.1668892598
451	0.1666020973
452	0.1663606112
453	0.1663423836
454	0.1661561159
455	0.1659779035
456	0.1658533363
457	0.1654990196
458	0.1654226786
459	0.165197844
460	0.1649834976
