iter	Passed	Remaining
0	1	1360
1	2	1443
2	4	1429
3	31	7746
4	32	6496
5	33	5626
6	35	4998
7	36	4528
8	38	4208
9	40	4026
10	41	3765
11	43	3547
12	44	3364
13	45	3222
14	47	3088
15	48	2967
16	49	2862
17	50	2770
18	52	2700
19	54	2666
20	56	2621
21	57	2554
22	58	2496
23	60	2441
24	61	2390
25	62	2343
26	63	2298
27	64	2254
28	66	2214
29	67	2181
30	68	2144
31	70	2127
32	71	2106
33	73	2087
34	75	2068
35	76	2054
36	78	2039
37	79	2016
38	80	1995
39	82	1972
40	83	1948
41	85	1943
42	86	1934
43	88	1915
44	89	1896
45	90	1878
46	91	1861
47	92	1844
48	94	1828
49	95	1812
50	96	1798
51	98	1788
52	99	1786
53	101	1772
54	102	1761
55	104	1753
56	105	1742
57	106	1729
58	107	1717
59	108	1706
60	110	1694
61	111	1685
62	112	1674
63	114	1670
64	115	1666
65	142	2013
66	144	2010
67	146	2001
68	147	1989
69	149	1984
70	150	1970
71	151	1956
72	153	1946
73	154	1934
74	155	1921
75	156	1908
76	158	1894
77	159	1886
78	161	1880
79	162	1873
80	164	1866
81	166	1859
82	167	1852
83	169	1847
84	170	1837
85	171	1826
86	173	1816
87	174	1811
88	176	1804
89	177	1795
90	178	1786
91	180	1776
92	181	1768
93	182	1759
94	184	1753
95	185	1751
96	187	1744
97	188	1736
98	191	1745
99	193	1738
100	194	1730
101	195	1722
102	196	1713
103	198	1711
104	200	1710
105	202	1710
106	204	1706
107	206	1708
108	208	1704
109	210	1700
110	211	1694
111	213	1695
112	217	1707
113	219	1705
114	221	1707
115	223	1706
116	226	1711
117	253	1896
118	256	1896
119	258	1893
120	260	1890
121	263	1897
122	267	1907
123	269	1901
124	270	1896
125	272	1890
126	274	1884
127	276	1885
128	278	1880
129	281	1882
130	283	1878
131	284	1873
132	286	1867
133	288	1861
134	289	1856
135	292	1856
136	293	1851
137	296	1849
138	298	1846
139	299	1841
140	301	1836
141	303	1831
142	305	1830
143	308	1832
144	310	1828
145	312	1826
146	314	1823
147	317	1827
148	319	1824
149	321	1820
150	323	1816
151	325	1813
152	326	1808
153	328	1802
154	329	1797
155	331	1795
156	334	1798
157	336	1795
158	339	1794
159	366	1923
160	368	1919
161	376	1947
162	378	1942
163	380	1941
164	381	1933
165	383	1925
166	384	1917
167	385	1910
168	386	1902
169	388	1898
170	390	1892
171	391	1887
172	393	1881
173	395	1875
174	397	1871
175	398	1867
176	400	1862
177	402	1857
178	404	1853
179	405	1847
180	407	1842
181	408	1836
182	410	1832
183	412	1829
184	414	1825
185	416	1822
186	418	1819
187	420	1815
188	421	1810
189	423	1805
190	425	1803
191	427	1799
192	429	1795
193	430	1790
194	432	1786
195	434	1784
196	436	1780
197	438	1778
198	440	1774
199	442	1770
200	444	1765
201	446	1763
202	448	1760
203	450	1756
204	451	1751
205	478	1842
206	480	1838
207	484	1845
208	488	1847
209	489	1842
210	491	1838
211	493	1832
212	495	1831
213	497	1828
214	499	1824
215	501	1819
216	502	1814
217	504	1809
218	506	1805
219	507	1800
220	509	1795
221	512	1795
222	514	1791
223	517	1791
224	520	1792
225	523	1792
226	526	1793
227	544	1844
228	553	1864
229	555	1860
230	557	1856
231	559	1852
232	562	1851
233	564	1848
234	566	1843
235	569	1842
236	571	1838
237	574	1838
238	576	1835
239	579	1835
240	582	1833
241	584	1829
242	585	1824
243	587	1819
244	589	1815
245	590	1811
246	593	1809
247	595	1804
248	596	1799
249	598	1796
250	601	1793
251	602	1789
252	605	1786
253	606	1782
254	609	1779
255	612	1781
256	614	1776
257	616	1772
258	618	1768
259	620	1766
260	623	1766
261	625	1762
262	627	1758
263	629	1753
264	630	1749
265	632	1744
266	634	1740
267	635	1736
268	637	1731
269	638	1727
270	640	1724
271	642	1720
272	644	1717
273	646	1712
274	647	1708
275	649	1703
276	651	1699
277	652	1694
278	654	1690
279	656	1688
280	658	1684
281	660	1681
282	661	1676
283	663	1673
284	665	1670
285	667	1666
286	670	1665
287	672	1662
288	681	1676
289	687	1682
290	694	1693
291	707	1714
292	720	1739
293	733	1760
294	748	1788
295	760	1808
296	770	1824
297	774	1825
298	776	1821
299	778	1817
300	783	1818
301	784	1814
302	786	1809
303	789	1806
304	792	1804
305	793	1800
306	795	1796
307	840	1887
308	843	1886
309	849	1891
310	851	1886
311	853	1881
312	854	1876
313	856	1871
314	858	1865
315	859	1861
316	861	1856
317	863	1852
318	865	1847
319	866	1841
320	868	1836
321	869	1831
322	871	1826
323	874	1824
324	894	1858
325	897	1854
326	900	1852
327	906	1857
328	908	1852
329	909	1846
330	910	1840
331	912	1836
332	915	1833
333	916	1827
334	917	1821
335	918	1815
336	920	1810
337	921	1804
338	922	1798
339	923	1792
340	924	1787
341	926	1782
342	928	1777
343	929	1772
344	931	1768
345	932	1763
346	934	1759
347	936	1754
348	937	1749
349	939	1744
350	941	1741
351	944	1738
352	945	1733
353	947	1728
354	948	1723
355	949	1717
356	951	1714
357	978	1754
358	980	1750
359	982	1746
360	984	1741
361	985	1737
362	987	1732
363	989	1728
364	990	1723
